"exp1_trt","outcome1","compl1","female","age","income","religion","Hindu","imp_rel","education","ideol","empl_status","employed","marital","married","job_worry","year"
-1,NA,0,1,41,4,31,1,1,1,-1,6,0,1,1,NA,2001
2,NA,1,1,40,5,31,1,1,9,5,8,0,1,1,NA,2001
3,NA,0,0,40,4,31,1,1,6,1,3,1,1,1,NA,2001
1,NA,1,0,27,4,31,1,1,8,-1,3,1,1,1,NA,2001
2,NA,1,0,33,4,31,1,1,7,1,3,1,1,1,NA,2001
2,NA,1,0,32,4,31,1,1,7,-1,3,1,1,1,NA,2001
-1,NA,0,1,23,5,31,1,1,3,-1,6,0,1,1,NA,2001
-1,NA,0,1,45,3,31,1,1,6,-1,6,0,1,1,NA,2001
3,NA,0,1,60,4,31,1,1,1,-1,6,0,1,1,NA,2001
3,NA,0,1,23,4,31,1,1,7,-1,6,0,1,1,NA,2001
-1,NA,0,1,40,5,31,1,1,3,-1,6,0,1,1,NA,2001
-1,NA,0,0,31,5,31,1,2,9,5,1,1,1,1,NA,2001
-1,NA,0,1,-1,4,31,1,2,3,-1,6,0,1,1,NA,2001
-1,NA,0,1,51,4,31,1,2,1,-1,6,0,1,1,NA,2001
4,NA,0,0,62,5,31,1,2,9,8,1,1,1,1,NA,2001
-1,NA,0,0,37,5,31,1,3,6,5,5,0,1,1,NA,2001
-1,NA,0,0,69,5,31,1,2,7,8,3,1,1,1,NA,2001
-1,NA,0,0,26,5,31,1,1,9,8,7,0,6,0,NA,2001
1,NA,1,0,45,5,31,1,2,8,5,1,1,1,1,NA,2001
2,NA,1,0,22,5,31,1,2,9,8,7,0,6,0,NA,2001
3,NA,0,0,58,5,31,1,2,6,5,5,0,1,1,NA,2001
2,NA,1,0,32,5,31,1,2,9,8,1,1,1,1,NA,2001
-1,NA,0,1,50,5,31,1,2,1,-1,6,0,1,1,NA,2001
4,NA,0,0,29,5,31,1,1,9,3,1,1,6,0,NA,2001
-1,NA,0,1,42,4,31,1,1,3,-1,6,0,1,1,NA,2001
2,NA,1,0,74,5,31,1,3,3,5,5,0,1,1,NA,2001
-1,NA,0,1,61,5,31,1,1,3,-1,8,0,5,0,NA,2001
2,NA,1,0,26,5,31,1,3,9,10,7,0,6,0,NA,2001
2,NA,1,0,42,5,31,1,3,8,5,3,1,1,1,NA,2001
-1,NA,0,1,46,5,31,1,1,1,-1,6,0,1,1,NA,2001
-1,NA,0,0,32,5,31,1,2,7,-1,3,1,1,1,NA,2001
2,NA,1,0,31,5,31,1,3,9,10,3,1,1,1,NA,2001
2,NA,1,0,25,5,31,1,3,9,5,7,0,6,0,NA,2001
2,NA,1,0,32,5,31,1,3,8,5,3,1,1,1,NA,2001
3,NA,0,0,32,2,31,1,1,7,5,1,1,1,1,NA,2001
3,NA,0,0,41,4,31,1,1,9,5,1,1,1,1,NA,2001
-1,NA,0,1,65,2,31,1,3,1,-1,6,0,1,1,NA,2001
-1,NA,0,0,43,3,31,1,2,6,3,1,1,1,1,NA,2001
-1,NA,0,0,30,2,31,1,-1,1,-1,2,1,1,1,NA,2001
-1,NA,0,0,40,2,31,1,3,1,-1,1,1,1,1,NA,2001
3,NA,0,0,34,5,31,1,1,9,8,1,1,1,1,NA,2001
-1,NA,0,1,30,4,31,1,1,8,-1,6,0,1,1,NA,2001
2,NA,1,0,44,4,31,1,1,9,8,1,1,1,1,NA,2001
-1,NA,0,1,30,5,31,1,1,7,-1,6,0,1,1,NA,2001
-1,NA,0,0,46,5,31,1,2,7,5,3,1,1,1,NA,2001
-1,NA,0,1,35,3,31,1,1,6,-1,6,0,1,1,NA,2001
-1,NA,0,1,26,3,31,1,3,1,-1,6,0,1,1,NA,2001
2,NA,1,1,23,5,31,1,2,8,10,7,0,6,0,NA,2001
