"support_war","strong_leader","compliance","female","age","income","religion","hindu","practicing_religion","education","political_ideology","employment","employed","marital_status","married","job_loss"
1,1,1,1,31,5,6,1,1,5,10,4,0,1,1,1
0,0,0,1,23,2,6,1,1,4,4,3,0,6,0,2
0,1,0,0,30,2,6,1,2,4,8,2,0,1,1,4
0,1,0,1,30,5,5,0,1,4,10,1,1,1,1,1
1,1,0,0,18,10,6,1,1,8,10,8,0,6,0,3
0,1,0,0,30,5,6,1,1,4,6,4,0,1,1,1
0,1,0,1,24,3,6,1,1,4,7,2,0,6,0,1
1,0,1,1,26,4,5,0,3,4,6,3,0,6,0,4
0,1,0,0,19,2,6,1,2,4,10,2,0,6,0,2
1,1,1,1,29,5,9,0,1,4,7,5,0,1,1,3
1,1,1,0,41,5,6,1,1,2,9,1,1,1,1,2
1,1,1,0,46,3,6,1,1,2,10,3,0,5,0,3
1,1,0,1,27,4,6,1,1,4,8,1,1,1,1,1
1,0,0,0,41,8,6,1,1,6,10,7,0,1,1,2
1,0,0,1,32,3,6,1,3,4,7,1,1,1,1,1
0,0,0,0,31,3,6,1,1,5,6,2,0,6,0,1
0,0,0,0,27,2,6,1,2,3,5,1,1,6,0,3
1,1,0,0,50,10,6,1,1,5,6,8,0,1,1,1
0,1,0,1,24,3,5,0,1,4,10,1,1,6,0,1
1,0,1,0,18,2,6,1,1,3,7,6,0,6,0,1
0,1,0,0,23,7,7,0,1,5,6,7,0,6,0,3
0,0,0,1,35,4,6,1,2,4,4,1,1,1,1,1
1,1,0,1,23,5,6,1,2,6,6,1,1,1,1,1
1,1,0,0,29,5,6,1,1,5,10,4,0,6,0,1
1,1,1,0,18,1,1,0,1,3,10,7,0,6,0,1
1,1,1,0,28,2,6,1,2,0,10,1,1,6,0,2
0,1,0,1,32,3,6,1,1,4,7,5,0,1,1,2
1,1,0,0,34,3,6,1,2,4,5,1,1,1,1,1
1,1,0,1,25,6,6,1,1,5,4,5,0,6,0,2
0,1,0,1,35,7,6,1,1,7,8,8,0,1,1,4
